原始工作票文本 (摘要),一级风险类型,二级风险类型,风险等级
[网络] 接入层交换机环路，引发网络风暴，导致部分工作站通讯迟滞。,网络与安全风险,网络风暴/阻塞,三级
[SCADA] 数据库同步异常，备机启用后发现缺失最近24小时的模型参数修改记录。,数据与软件风险,历史/核心数据丢失,三级
[SCADA] 维护工作站进行补丁更新，误杀图形刷新进程，导致部分调度员工作站画面停止刷新。,监视功能风险,画面/数据不刷新,三级
[EMS] 归档脚本编写错误，误删除了当月运行报表数据。,数据与软件风险,历史/核心数据丢失,三级
[AGC] 修改全网总负荷计算公式时符号错误，导致AGC下发错误的调节指令。,控制功能风险,AGC/AVC调节异常,一级
[网络] 双平面网络配置调整，造成B网平面广播风暴，系统失去网络冗余。,数据与软件风险,双机/双网冗余失效,三级
[网络] 双平面网络配置调整，造成B网平面广播风暴，系统失去网络冗余。,数据与软件风险,双机/双网冗余失效,三级
[SCADA] 数据库点号映射错误，导致对A站开关操作实际作用于B站。,控制功能风险,误发遥控/遥调指令,一级
[SCADA] 通道误码率高，导致调度员下发遥控指令超时失败。,控制功能风险,控制命令拒动/超时,三级
[SCADA] 数据库同步异常，备机启用后发现缺失最近24小时的模型参数修改记录。,数据与软件风险,历史/核心数据丢失,三级
[网络] 接入层交换机环路，引发网络风暴，导致部分工作站通讯迟滞。,网络与安全风险,网络风暴/阻塞,三级
[网络] 双平面网络配置调整，造成B网平面广播风暴，系统失去网络冗余。,数据与软件风险,双机/双网冗余失效,三级
[EMS] 事项服务器磁盘空间满，新的告警记录无法写入数据库。,监视功能风险,告警功能失效,三级
[SCADA] 遥控测试时选错对象，误对运行中的500kV线路开关进行分闸操作。,控制功能风险,误发遥控/遥调指令,一级
[网络] 双平面网络配置调整，造成B网平面广播风暴，系统失去网络冗余。,数据与软件风险,双机/双网冗余失效,三级
[硬件] 磁盘阵列硬盘故障亮红灯，更换过程中误拔出正常硬盘。,硬件与基础设施风险,硬件设备损坏,三级
[SCADA] 遥控测试时选错对象，误对运行中的110kV线路开关进行分闸操作。,控制功能风险,误发遥控/遥调指令,一级
[网络] 核心交换机配置错误VLAN，导致主备服务器心跳中断，双机热备失效。,数据与软件风险,双机/双网冗余失效,三级
[硬件] 磁盘阵列硬盘故障亮红灯，更换过程中误拔出正常硬盘。,硬件与基础设施风险,硬件设备损坏,三级
[OMS] 电子接线图模块更新后，无法加载厂站接线图。,数据与软件风险,软件功能瘫痪,四级
[AGC] 联调期间误将测试模式切至运行模式，导致机组出力异常大幅波动。,控制功能风险,AGC/AVC调节异常,一级
[环境] 机房漏水检测装置误报，导致自动排水系统启动，影响机房湿度。,硬件与基础设施风险,供电/环境异常,四级
[SCADA] 告警服务进程异常退出，期间电网事故跳闸未触发语音和推窗告警。,监视功能风险,告警功能失效,二级
[环境] 机房漏水检测装置误报，导致自动排水系统启动，影响机房湿度。,硬件与基础设施风险,供电/环境异常,四级
[SCADA] 备用服务器长期未重启，接管主用服务后立即崩溃，导致单机运行风险。,数据与软件风险,双机/双网冗余失效,二级
[SCADA] 核心交换机故障导致SCADA服务器与所有前置机断连，全网监控中断。,监视功能风险,全网/部分监控中断,一级
[硬件] 更换调度大屏控制器电源未佩戴防静电手环，导致控制板烧毁。,硬件与基础设施风险,硬件设备损坏,四级
[EMS] 归档脚本编写错误，误删除了当月运行报表数据。,数据与软件风险,历史/核心数据丢失,三级
[SCADA] 服务器内存溢出导致系统核心服务崩溃，所有监控画面黑屏。,监视功能风险,全网/部分监控中断,二级
[SCADA] 厂站通讯链路割接，配置参数错误导致某220kV变电站数据无法刷新。,监视功能风险,画面/数据不刷新,三级
[EMS] 归档脚本编写错误，误删除了当月运行报表数据。,数据与软件风险,历史/核心数据丢失,三级
[安防] 运维笔记本未杀毒直接接入生产网，导致病毒在内网传播。,网络与安全风险,网络安全防线突破,二级
[SCADA] 服务器内存溢出导致系统核心服务崩溃，所有监控画面黑屏。,监视功能风险,全网/部分监控中断,二级
[SCADA] 告警服务进程异常退出，期间电网事故跳闸未触发语音和推窗告警。,监视功能风险,告警功能失效,二级
[SCADA] 告警服务进程异常退出，期间电网事故跳闸未触发语音和推窗告警。,监视功能风险,告警功能失效,二级
[SCADA] 告警窗频繁闪烁，运维人员临时屏蔽所有告警音响，导致新发故障未被及时发现。,监视功能风险,告警功能失效,三级
[安防] 运维笔记本未杀毒直接接入生产网，导致病毒在内网传播。,网络与安全风险,网络安全防线突破,二级
[SCADA] 修改告警定义表时误删关键字段，导致开关变位告警无法正常产生。,监视功能风险,告警功能失效,二级
[数据网] 路由器OSPF配置错误，导致路由震荡，数据包大量丢失。,网络与安全风险,网络风暴/阻塞,三级
[网络] 错误连接网线导致两个不同网段短接，造成局域网IP冲突和阻塞。,网络与安全风险,网络风暴/阻塞,三级
[Web] Web发布服务器故障，导致公司管理网用户无法查看实时监视页面。,监视功能风险,全网/部分监控中断,四级
[SCADA] 重启前置机fep_main进程期间，未进行主备切换，导致全网数据刷新中断1小时。,监视功能风险,画面/数据不刷新,二级
[SCADA] 服务器内存溢出导致系统核心服务崩溃，所有监控画面黑屏。,监视功能风险,全网/部分监控中断,二级
[PAS] 状态估计高级应用升级后无法收敛，导致网络分析功能不可用。,数据与软件风险,软件功能瘫痪,四级
[数据网] 路由器OSPF配置错误，导致路由震荡，数据包大量丢失。,网络与安全风险,网络风暴/阻塞,三级
[SCADA] 告警服务进程异常退出，期间电网事故跳闸未触发语音和推窗告警。,监视功能风险,告警功能失效,二级
[SCADA] 核心交换机故障导致SCADA服务器与所有前置机断连，全网监控中断。,监视功能风险,全网/部分监控中断,一级
[SCADA] 厂站通讯链路割接，配置参数错误导致某110kV变电站数据无法刷新。,监视功能风险,画面/数据不刷新,三级
[EMS] 数据库死锁导致前置应用无法写入实时数据，全网遥测数据不再更新。,监视功能风险,画面/数据不刷新,二级
[SCADA] 遥控测试时选错对象，误对运行中的220kV线路开关进行分闸操作。,控制功能风险,误发遥控/遥调指令,一级
[网络] 错误连接网线导致两个不同网段短接，造成局域网IP冲突和阻塞。,网络与安全风险,网络风暴/阻塞,三级
[通信] 传输设备检修导致主站至某片区所有厂站通道中断，监控盲区产生。,监视功能风险,全网/部分监控中断,二级
[AGC] 联调期间误将测试模式切至运行模式，导致机组出力异常大幅波动。,控制功能风险,AGC/AVC调节异常,一级
[硬件] 磁盘阵列硬盘故障亮红灯，更换过程中误拔出正常硬盘。,硬件与基础设施风险,硬件设备损坏,三级
[EMS] 数据库死锁导致前置应用无法写入实时数据，全网遥测数据不再更新。,监视功能风险,画面/数据不刷新,二级
[SCADA] 备用服务器长期未重启，接管主用服务后立即崩溃，导致单机运行风险。,数据与软件风险,双机/双网冗余失效,二级
[网络] 核心交换机配置错误VLAN，导致主备服务器心跳中断，双机热备失效。,数据与软件风险,双机/双网冗余失效,三级
[网络] 双平面网络配置调整，造成B网平面广播风暴，系统失去网络冗余。,数据与软件风险,双机/双网冗余失效,三级
[网络] 错误连接网线导致两个不同网段短接，造成局域网IP冲突和阻塞。,网络与安全风险,网络风暴/阻塞,三级
[SCADA] 数据库同步异常，备机启用后发现缺失最近24小时的模型参数修改记录。,数据与软件风险,历史/核心数据丢失,三级
[硬件] 磁盘阵列硬盘故障亮红灯，更换过程中误拔出正常硬盘。,硬件与基础设施风险,硬件设备损坏,三级
[AVC] 电压控制策略参数配置不当，导致某区域电压频繁波动。,控制功能风险,AGC/AVC调节异常,二级
[SCADA] 核心交换机故障导致SCADA服务器与所有前置机断连，全网监控中断。,监视功能风险,全网/部分监控中断,一级
[硬件] 服务器内存条插拔不当造成金手指损坏，服务器无法启动。,硬件与基础设施风险,硬件设备损坏,四级
[SCADA] 备用服务器长期未重启，接管主用服务后立即崩溃，导致单机运行风险。,数据与软件风险,双机/双网冗余失效,二级
[AVC] 电压控制策略参数配置不当，导致某区域电压频繁波动。,控制功能风险,AGC/AVC调节异常,二级
[SCADA] 告警窗频繁闪烁，运维人员临时屏蔽所有告警音响，导致新发故障未被及时发现。,监视功能风险,告警功能失效,三级
[环境] 机房漏水检测装置误报，导致自动排水系统启动，影响机房湿度。,硬件与基础设施风险,供电/环境异常,四级
[SCADA] 修改告警定义表时误删关键字段，导致开关变位告警无法正常产生。,监视功能风险,告警功能失效,二级
[SCADA] 修改告警定义表时误删关键字段，导致开关变位告警无法正常产生。,监视功能风险,告警功能失效,二级
[SCADA] 遥控测试时选错对象，误对运行中的110kV线路开关进行分闸操作。,控制功能风险,误发遥控/遥调指令,一级
[SCADA] 告警窗频繁闪烁，运维人员临时屏蔽所有告警音响，导致新发故障未被及时发现。,监视功能风险,告警功能失效,三级
[硬件] 更换调度大屏控制器电源未佩戴防静电手环，导致控制板烧毁。,硬件与基础设施风险,硬件设备损坏,四级
[安防] 纵向加密认证装置证书过期未及时更换，导致厂站数据无法解密上传。,网络与安全风险,网络安全防线突破,三级
[硬件] 磁盘阵列硬盘故障亮红灯，更换过程中误拔出正常硬盘。,硬件与基础设施风险,硬件设备损坏,三级
[OMS] 电子接线图模块更新后，无法加载厂站接线图。,数据与软件风险,软件功能瘫痪,四级
[SCADA] 维护工作站进行补丁更新，误杀图形刷新进程，导致部分调度员工作站画面停止刷新。,监视功能风险,画面/数据不刷新,三级
[环境] 机房漏水检测装置误报，导致自动排水系统启动，影响机房湿度。,硬件与基础设施风险,供电/环境异常,四级
[网络] 接入层交换机环路，引发网络风暴，导致部分工作站通讯迟滞。,网络与安全风险,网络风暴/阻塞,三级
[SCADA] 数据库同步异常，备机启用后发现缺失最近24小时的模型参数修改记录。,数据与软件风险,历史/核心数据丢失,三级
[SCADA] 维护工作站进行补丁更新，误杀图形刷新进程，导致部分调度员工作站画面停止刷新。,监视功能风险,画面/数据不刷新,三级
[PAS] 状态估计高级应用升级后无法收敛，导致网络分析功能不可用。,数据与软件风险,软件功能瘫痪,四级
[Web] Web发布服务器故障，导致公司管理网用户无法查看实时监视页面。,监视功能风险,全网/部分监控中断,四级
[环境] 机房漏水检测装置误报，导致自动排水系统启动，影响机房湿度。,硬件与基础设施风险,供电/环境异常,四级
[SCADA] 维护工作站进行补丁更新，误杀图形刷新进程，导致部分调度员工作站画面停止刷新。,监视功能风险,画面/数据不刷新,三级
[SCADA] 维护工作站进行补丁更新，误杀图形刷新进程，导致部分调度员工作站画面停止刷新。,监视功能风险,画面/数据不刷新,三级
[网络] 核心交换机配置错误VLAN，导致主备服务器心跳中断，双机热备失效。,数据与软件风险,双机/双网冗余失效,三级
[安防] 运维笔记本未杀毒直接接入生产网，导致病毒在内网传播。,网络与安全风险,网络安全防线突破,二级
[网络] 接入层交换机环路，引发网络风暴，导致部分工作站通讯迟滞。,网络与安全风险,网络风暴/阻塞,三级
[SCADA] 通道误码率高，导致调度员下发遥控指令超时失败。,控制功能风险,控制命令拒动/超时,三级
[数据网] 路由器OSPF配置错误，导致路由震荡，数据包大量丢失。,网络与安全风险,网络风暴/阻塞,三级
[硬件] 服务器内存条插拔不当造成金手指损坏，服务器无法启动。,硬件与基础设施风险,硬件设备损坏,四级
[网络] 接入层交换机环路，引发网络风暴，导致部分工作站通讯迟滞。,网络与安全风险,网络风暴/阻塞,三级
[SCADA] 数据库点号映射错误，导致对A站开关操作实际作用于B站。,控制功能风险,误发遥控/遥调指令,一级
[SCADA] 核心交换机故障导致SCADA服务器与所有前置机断连，全网监控中断。,监视功能风险,全网/部分监控中断,一级
[网络] 接入层交换机环路，引发网络风暴，导致部分工作站通讯迟滞。,网络与安全风险,网络风暴/阻塞,三级
[SCADA] 数据库点号映射错误，导致对A站开关操作实际作用于B站。,控制功能风险,误发遥控/遥调指令,一级
[PAS] 状态估计高级应用升级后无法收敛，导致网络分析功能不可用。,数据与软件风险,软件功能瘫痪,四级
[网络] 双平面网络配置调整，造成B网平面广播风暴，系统失去网络冗余。,数据与软件风险,双机/双网冗余失效,三级
[网络] 双平面网络配置调整，造成B网平面广播风暴，系统失去网络冗余。,数据与软件风险,双机/双网冗余失效,三级
[PAS] 状态估计高级应用升级后无法收敛，导致网络分析功能不可用。,数据与软件风险,软件功能瘫痪,四级
[SCADA] 厂站通讯链路割接，配置参数错误导致某500kV变电站数据无法刷新。,监视功能风险,画面/数据不刷新,三级
[SCADA] 服务器内存溢出导致系统核心服务崩溃，所有监控画面黑屏。,监视功能风险,全网/部分监控中断,二级
[SCADA] 维护工作站进行补丁更新，误杀图形刷新进程，导致部分调度员工作站画面停止刷新。,监视功能风险,画面/数据不刷新,三级
[AGC] 遥测采样数据异常跳变，未被状态估计剔除，引发AGC误调节。,控制功能风险,AGC/AVC调节异常,二级
[网络] 接入层交换机环路，引发网络风暴，导致部分工作站通讯迟滞。,网络与安全风险,网络风暴/阻塞,三级
[环境] 机房精密空调故障停机，导致室内温度升高至35度，设备有过热宕机风险。,硬件与基础设施风险,供电/环境异常,三级
[AVC] 电压控制策略参数配置不当，导致某区域电压频繁波动。,控制功能风险,AGC/AVC调节异常,二级
[AGC] 联调期间误将测试模式切至运行模式，导致机组出力异常大幅波动。,控制功能风险,AGC/AVC调节异常,一级
[SCADA] 告警窗频繁闪烁，运维人员临时屏蔽所有告警音响，导致新发故障未被及时发现。,监视功能风险,告警功能失效,三级
[EMS] 事项服务器磁盘空间满，新的告警记录无法写入数据库。,监视功能风险,告警功能失效,三级
[网络] 双平面网络配置调整，造成B网平面广播风暴，系统失去网络冗余。,数据与软件风险,双机/双网冗余失效,三级
[SCADA] 重启前置机fep_main进程期间，未进行主备切换，导致全网数据刷新中断10分钟。,监视功能风险,画面/数据不刷新,二级
[SCADA] 厂站通讯链路割接，配置参数错误导致某500kV变电站数据无法刷新。,监视功能风险,画面/数据不刷新,三级
[SCADA] 厂站通讯链路割接，配置参数错误导致某220kV变电站数据无法刷新。,监视功能风险,画面/数据不刷新,三级
[通信] 传输设备检修导致主站至某片区所有厂站通道中断，监控盲区产生。,监视功能风险,全网/部分监控中断,二级
[SCADA] 遥控返校超时参数设置过短，导致成功操作被误判为失败。,控制功能风险,控制命令拒动/超时,四级
